Ch1_X	Ch1_Y	Ch1_Z	Ch1_phi	Ch1_theta	Ch1_RMS	Ch1_Extra	Ch2_X	Ch2_Y	Ch2_Z	Ch2_phi	Ch2_theta	Ch2_RMS	Ch2_Extra	Ch3_X	Ch3_Y	Ch3_Z	Ch3_phi	Ch3_theta	Ch3_RMS	Ch3_Extra	Ch4_X	Ch4_Y	Ch4_Z	Ch4_phi	Ch4_theta	Ch4_RMS	Ch4_Extra	Ch5_X	Ch5_Y	Ch5_Z	Ch5_phi	Ch5_theta	Ch5_RMS	Ch5_Extra	Ch6_X	Ch6_Y	Ch6_Z	Ch6_phi	Ch6_theta	Ch6_RMS	Ch6_Extra	Ch7_X	Ch7_Y	Ch7_Z	Ch7_phi	Ch7_theta	Ch7_RMS	Ch7_Extra	Ch8_X	Ch8_Y	Ch8_Z	Ch8_phi	Ch8_theta	Ch8_RMS	Ch8_Extra	Ch9_X	Ch9_Y	Ch9_Z	Ch9_phi	Ch9_theta	Ch9_RMS	Ch9_Extra	Ch10_X	Ch10_Y	Ch10_Z	Ch10_phi	Ch10_theta	Ch10_RMS	Ch10_Extra	Ch11_X	Ch11_Y	Ch11_Z	Ch11_phi	Ch11_theta	Ch11_RMS	Ch11_Extra	Ch12_X	Ch12_Y	Ch12_Z	Ch12_phi	Ch12_theta	Ch12_RMS	Ch12_Extra
-40.69	-55.58	21.43	-161.34	55.42	0.00	0.00	-49.71	69.68	17.24	4.57	-17.73	0.00	0.00	36.91	10.48	-23.42	146.09	-58.54	0.00	0.00	59.35	12.60	-44.53	90.35	63.19	0.00	0.00	71.54	9.66	-63.48	83.38	-2.11	0.00	0.00	78.39	15.18	-32.89	-100.69	65.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-40.69	-55.60	21.42	-161.41	55.43	0.00	0.00	-49.71	69.70	17.24	4.55	-17.73	0.00	0.00	36.96	10.40	-23.28	146.34	-58.30	0.00	0.00	59.46	12.43	-44.50	90.17	63.36	0.00	0.00	71.63	9.61	-63.38	83.40	-2.17	0.00	0.00	78.53	15.22	-32.87	-100.80	65.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-40.69	-55.59	21.43	-161.36	55.42	0.00	0.00	-49.71	69.70	17.24	4.55	-17.74	0.00	0.00	37.11	10.54	-23.20	146.44	-57.99	0.00	0.00	59.37	12.45	-44.52	89.90	63.64	0.00	0.00	71.66	9.71	-63.47	83.40	-2.16	0.00	0.00	78.30	15.19	-32.84	-100.58	65.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-40.68	-55.57	21.43	-161.33	55.40	0.00	0.00	-49.71	69.68	17.24	4.55	-17.74	0.00	0.00	37.15	10.52	-23.15	146.71	-57.68	0.00	0.00	59.21	12.39	-44.59	89.42	63.92	0.00	0.00	71.66	9.67	-63.45	83.38	-2.16	0.00	0.00	78.22	15.08	-32.83	-100.48	65.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-40.69	-55.58	21.42	-161.38	55.43	0.00	0.00	-49.71	69.68	17.24	4.57	-17.73	0.00	0.00	37.39	10.53	-23.16	146.93	-57.51	0.00	0.00	59.22	12.41	-44.66	89.27	64.09	0.00	0.00	71.62	9.64	-63.45	83.36	-2.23	0.00	0.00	78.34	15.10	-32.91	-100.68	65.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-40.68	-55.57	21.43	-161.38	55.41	0.00	0.00	-49.71	69.67	17.25	4.57	-17.74	0.00	0.00	37.27	10.50	-23.14	147.11	-57.27	0.00	0.00	59.12	12.41	-44.77	89.03	64.26	0.00	0.00	71.63	9.67	-63.52	83.39	-2.18	0.00	0.00	78.48	15.21	-32.95	-100.71	65.77	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-40.68	-55.58	21.43	-161.34	55.40	0.00	0.00	-49.71	69.70	17.24	4.54	-17.74	0.00	0.00	37.47	10.50	-23.07	147.10	-57.08	0.00	0.00	59.27	12.37	-44.79	88.95	64.49	0.00	0.00	71.67	9.64	-63.41	83.36	-2.17	0.00	0.00	78.25	15.13	-32.87	-100.48	65.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-40.68	-55.56	21.43	-161.35	55.41	0.00	0.00	-49.71	69.67	17.24	4.55	-17.74	0.00	0.00	37.46	10.47	-23.03	147.33	-56.90	0.00	0.00	59.19	12.33	-44.85	88.73	64.64	0.00	0.00	71.67	9.66	-63.44	83.37	-2.21	0.00	0.00	78.27	15.11	-32.88	-100.57	65.74	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-40.68	-55.55	21.43	-161.32	55.40	0.00	0.00	-49.71	69.67	17.24	4.56	-17.74	0.00	0.00	37.57	10.55	-23.03	147.35	-56.75	0.00	0.00	59.10	12.33	-44.79	88.57	64.80	0.00	0.00	71.62	9.69	-63.37	83.37	-2.19	0.00	0.00	78.48	15.18	-32.85	-100.73	65.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-40.70	-55.59	21.43	-161.31	55.42	0.00	0.00	-49.71	69.71	17.23	4.54	-17.72	0.00	0.00	37.54	10.48	-23.02	147.50	-56.67	0.00	0.00	59.00	12.28	-44.90	88.43	64.91	0.00	0.00	71.63	9.70	-63.40	83.39	-2.21	0.00	0.00	78.58	15.27	-32.82	-100.81	65.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
